target_id,target_ja,ultimate,use_condition,wait_for,combo_with,bad_timing,target_priority,bronze,silver,gold,platinum,diamond_plus
Soldier76,ソルジャー76,タクティカル・バイザー,敵の防御・救助・移動スキルを1つ以上使わせ、自分が中距離の遮蔽か高台を持っている時だけ使う。,ディフェンス・マトリックス、鈴のご加護、イモータリティ・フィールド、サウンド・バリア、ヴォイド・バリア,味方タンクの前進、味方の回復阻害、敵サポートの位置ずれ,敵全員が遮蔽の近くにいる、自分が高台から降りた直後、D.Vaやシグマが正面で防御を残している,遮蔽から離れたサポート、空中ヒーロー、逃げ遅れたダメージ,先撃ちせず、敵が開けた場所に出た時だけ使う。,防御スキルを1つ見てから使う癖を付ける。,高台か別射線から使い、正面中央で発動しない。,敵の救助スキルとタンク防御の両方を数えてから発動する。,味方の前進タイミングと支援スキルの切れ目を合わせ、撃破より分断価値も見る。
Sojourn,ソジョーン,オーバークロック,レールガンの射線を通せる遮蔽を確保し、敵の移動・無敵・バリアを先に吐かせてから使う。,鈴のご加護、イモータリティ・フィールド、ライフグリップ、バリア、機動スキル,味方の拘束・減速、味方タンクの前進、ディスラプター・ショットでの退路制限,レールガン射線が1本しかない、パワー・スライドを先に失っている、敵が全員遮蔽裏にいる,サポート、空中ヒーロー、横移動が読めるダメージ,発動後に立ち止まらず、遮蔽を挟みながら撃つ。,1人目を急がず、当てやすいサポートかダメージから狙う。,パワー・スライドを逃げにも使える状態で発動する。,敵の無敵・救助・バリアを2つ以上確認してから使う。,発動前にディスラプター・ショットで退路を切り、敵の視線を分割してから覗く。
Cassidy,キャスディ,デッド・アイ,敵の遮蔽移動・妨害・救助を確認し、正面ではなく横射線か高台から人数差か位置移動を作る目的で使う。,鈴のご加護、イモータリティ・フィールド、ライフグリップ、バリア、スタン・ノックバック,味方タンクの前進、味方アルティメットの退路制限、敵の視線が割れた瞬間,敵全員が遮蔽内にいる、正面中央で一人だけ立っている、フラッシュバンとコンバット・ロールを先に失っている,遮蔽から離れたサポート、逃げ遅れたダメージ、空中から降りた敵,撃破にこだわりすぎず、敵を遮蔽から動かす目的でも使う。,正面中央の発動を減らし、高台か横射線から使う。,敵の救助スキルを1つ使わせてから発動する。,味方の前進や敵の視線分割に合わせて発動する。,ロックオン完了より、敵の防御位置を崩す圧として使う判断も混ぜる。
Ashe,アッシュ,B.O.B,敵の退路か目標周辺をB.O.Bで分断でき、本人は別射線からザ・ヴァイパーを通せる時に使う。,スリープ・ダーツ、ハック、ノックバック、バリア、救助スキル,ダイナマイト、味方の前進、敵の退路制限,B.O.Bだけを正面へ走らせる、自分が同じ射線で孤立している、敵の無力化スキルが完全に残っている,目標に触る敵、後衛へ逃げる敵、遮蔽から出たサポート,B.O.Bを撃破目的だけでなく、目標を踏ませる目的で使う。,正面ではなく、敵の退路を横から切る向きで出す。,B.O.Bが見ている敵を自分も別射線から撃つ。,スリープ、ハック、ノックバックを確認してから投入する。,B.O.Bで敵の視線と回復線を分断し、本人の射線で逃げ道を撃つ。
Reaper,リーパー,デス・ブロッサム,敵のスタン・ノックバック・無敵・救助を使わせ、近距離に入った後もレイス・フォームで逃げられる時だけ使う。,鈴のご加護、イモータリティ・フィールド、スリープ・ダーツ、ノックバック、スタン,味方の拘束、味方タンクの前進、敵サポートの視線分断,正面から歩いて発動する、レイス・フォームを先に使っている、敵の妨害スキルが複数残っている,固まったサポートとダメージ、狭所に残った敵、回復線から外れた敵,正面から発動せず、横か上から落ちる形にする。,レイス・フォームを逃げに残してから使う。,敵の無敵・スタン・ノックバックを1つ以上確認する。,味方の前進と同時に使い、単独突入を減らす。,敵の視線を味方に向けさせた後、退路が閉じた瞬間だけ発動する。
Symmetra,シンメトラ,フォトン・バリア,敵の長射線・アルティメット・前進ルートを分断でき、味方がバリアの片側で戦える時に使う。,長射線アルティメット、遠距離射線、突入タイミング、敵の前進,味方の前進、テレポーター、セントリー・タレット設置,味方の射線も完全に切る、すでに戦闘が終わっている、敵が近距離で横に回り切っている,長射線ヒーロー、前進するタンク、回復線に依存する敵,敵の射線を切る壁として分かりやすく使う。,味方が戦う側と敵を隔てる向きを意識する。,敵のアルティメットや長射線に合わせて使う。,テレポーターやタレットと合わせ、片側だけ有利な戦場を作る。,敵の射線、回復線、退路のうち2つ以上を同時に切る向きで使う。
Hanzo,ハンゾー,龍撃波,敵の退路・回復線・目標周辺を分断でき、味方が逃げ先を撃てる時に使う。,移動スキル、救助スキル、バリア、無敵スキル,味方の拘束、味方タンクの前進、鳴響矢水での位置確認,敵の現在地だけを狙う、味方が追えない方向へ流す、敵全員に逃げ道が残っている,回復線に頼る敵、狭所の敵、目標へ触る敵,直接撃破より、退路を塞ぐ向きで使う。,鳴響矢水や味方情報で位置を確認してから撃つ。,味方が押す方向へ逃げ道を切る。,救助・移動スキルを確認してから使う。,敵の回復線と退路を同時に切り、味方の前進方向と重ねる。
Torbjorn,トールビョーン,モルテン・コア,通路・目標周辺・退路を塞ぎ、敵が踏まないと前進できない形にできる時に使う。,移動スキル、バリア、無敵・救助、敵の前進,タレット射線、味方の前進、狭所の防衛,敵のいない床へ広く撒く、味方の追撃先を塞ぐ、自分が安全位置を持っていない,目標へ触る敵、狭所に入る敵、回復を受ける前線,敵の足元だけでなく退路にも置く。,目標周辺とダイブ経路に分けて置く。,敵が前に出た直後に退路を塞ぐ。,タレット射線と重ねて逃げ道を減らす。,敵の前進・後退・回復線のうち2つを同時に切る配置にする。
Bastion,バスティオン,砲台モード,敵の逃げ道・遮蔽裏・目標周辺を読めており、現在地ではなく次に逃げる場所へ撃てる時に使う。,移動スキル、バリア、無敵・救助、遮蔽移動,味方の拘束、強襲モード後の圧、目標周辺の制圧,見えている敵の足元だけに撃つ、敵が散っている、発動位置を読まれている,遮蔽裏のサポート、目標に触る敵、逃げ道が限定された敵,1発目を現在地、2発目以降を逃げ道へ置く。,目標周辺と遮蔽裏を優先して撃つ。,敵の移動スキル使用後に使う。,味方の拘束や前進で逃げ道を絞ってから撃つ。,敵が見えていない遮蔽裏と退路を予測して、分断目的で使う。
Mei,メイ,ブリザード,敵の移動・無敵・救助を使わせ、アイス・ウォールや味方の前進で逃げ道を塞げる時に使う。,移動スキル、鈴のご加護、イモータリティ・フィールド、ライフグリップ、バリア,アイス・ウォール、味方タンクの前進、減速中の追撃,敵全員に逃げ道がある、味方が届かない位置へ投げる、自分の退路がない,固まった前線、目標へ触る敵、移動スキル使用後の敵,敵の足元ではなく逃げ道を塞ぐ位置へ投げる。,アイス・ウォールで退路を切ってから使う。,敵の無敵・救助・移動を確認してから使う。,味方が追える位置に投げ、凍結後の射線を先に決める。,移動・救助・回復線を同時に詰ませる位置へ投げる。
Sombra,ソンブラ,EMP,味方がすぐ届く範囲で、敵のバリア・救助・回復線をまとめて止められる時に使う。,バリア、鈴のご加護、イモータリティ・フィールド、ライフグリップ、カウンターアルティメット,味方タンクの前進、味方範囲アルティメット、ハック後の集中攻撃,味方が遠い、単独で奥に入りすぎている、EMP後に撃つ対象が決まっていない,サポート、バリアに守られた敵、固まった前線,味方が見える位置で使う。単独EMPを減らす。,使う前に最初に撃つ敵を決める。,味方の前進と同時に使う。,バリアと救助スキルを巻き込む位置を選ぶ。,敵のカウンター支援を封じ、味方の火力が届く瞬間だけ発動する。
Tracer,トレーサー,パルス・ボム,敵の移動・無敵・救助を確認し、単体キルになりやすいサポートか逃げ遅れたダメージへ使う。,鈴のご加護、イモータリティ・フィールド、ライフグリップ、リコール系の逃げ、移動スキル,味方の注意引き、ブリンクでの角度変更、敵サポートの孤立,体力満タンのタンクへ投げる、ブリンクを使い切っている、敵の無敵・救助が完全に残っている,孤立したサポート、逃げ遅れたダメージ、体力が減った敵,タンクへ雑に投げず、サポートかダメージを狙う。,ブリンクを1つ以上残して投げる。,無敵・救助・移動を1つ見てから投げる。,横から入り、敵が正面を見た瞬間に付ける。,投げる前に帰り道と味方の追撃射線を決める。
Genji,ゲンジ,龍撃剣,防御・救助・移動スキル・移動スキル・自分の退路を確認し、最初に切る敵と次のリセット先が決まっている時に使う。,鈴のご加護、イモータリティ・フィールド、スリープ・ダーツ、ノックバック、移動スキル,ナノ・ブースト、味方の回復阻害、味方タンクの前進,風斬りのリセット先がない、木の葉返しを先に失っている、敵の防御・救助・移動スキルが複数残っている,孤立したサポート、体力が減った敵、移動スキル使用後のダメージ,抜刀前に最初に切る敵を1人決める。,風斬りで入る前に帰り道を決める。,無敵・スタン・ノックバックを1つ以上確認する。,味方の前進か支援スキルと合わせて抜刀する。,リセット順、敵カウンター、支援射線を見て、2人目までの道筋を作る。
Junkrat,ジャンクラット,RIPタイヤ,敵の射線・破壊手段・逃げ道を読めており、サポートか固まった敵へ安全なルートで通せる時に使う。,空中視界、ヒットスキャン射線、無敵・救助、音で警戒される位置,味方の前進、スティール・トラップ、狭所への圧力,敵5人の正面から走らせる、自分本体が安全でない、破壊されやすい直線ルートだけを使う,サポート、固まったダメージ、目標へ触る敵,正面から走らせず、側面ルートか段差を使う。,サポート2人か孤立した敵を優先する。,敵の無敵・救助・射線を確認してから起動する。,本体位置を隠し、音を聞かれる時間を短くする。,敵の視線が味方へ向いた瞬間に、退路側から通す。
Pharah,ファラ,バレッジ,敵のヒットスキャン射線・防御・スタンを確認し、低空・横・遮蔽近くから短時間で撃ち切れる時だけ使う。,ヒットスキャン射線、ディフェンス・マトリックス、スタン・ノックバック、バリア、無敵・救助,味方の拘束、マーシー支援、コンカッシブ・ブラストでの位置ずらし,高空で丸見えのまま使う、敵の防御が正面に残っている、逃げ道のない位置で発動する,固まったサポートとダメージ、遮蔽から離れた敵、目標へ固まった敵,高空で使わず、壁や屋根の近くから短く使う。,ヒットスキャンの視線を切ってから使う。,防御・スタン・無敵を1つ以上確認する。,味方の拘束や前進と合わせ、低空から一気に撃つ。,敵の視線分断と支援スキルの切れ目に、横から短時間で撃ち切る。
Echo,エコー,コピー,コピー後にすぐ価値を出せる敵を選び、元のエコーが安全に戻れる位置を持っている時に使う。,対空射線、スタン・ハック、無敵・救助、コピー対象の位置,味方の前進、スティッキー・ボム、フォーカス・ビームでの仕上げ,コピー対象が遠すぎる、コピー後に孤立する、体力差を作る前に焦って使う,強いアルティメットを溜めやすい敵、前線で生き残れる敵、孤立していない敵,好きな敵ではなく、生き残って価値を出せる敵をコピーする。,コピー後の逃げ道を先に決める。,コピー対象の位置と味方の追撃を確認する。,短時間でアルティメットを回せる対象を選ぶ。,コピー後の耐久、射線、味方の前進を同時に満たす対象だけ選ぶ。
Emre,エムレ,オーバーライド・プロトコル,短射線で体力差を作り、敵の防御・救助・移動を見てから、退路を残した状態で使う。,バリア、無敵・救助、移動スキル、長射線の圧力,サイバー・フラグ、味方タンクの前進、退路破壊,長射線の中央で発動する、オーバーライド・プロトコルを逃げに使えない、敵の防御と救助が両方残っている,遮蔽から離れたサポート、移動スキル使用後のダメージ、退路が狭い敵,正面中央で使わず、遮蔽から遮蔽へ動ける位置で使う。,敵の移動か救助を1つ見てから使う。,サイバー・フラグで退路を狭めてから発動する。,味方の前進に合わせ、逃げ道を残して使う。,敵の防御、救助、長射線のうち2つを処理してから発動する。
